number_index,number,success,factor_found,other_factor,total_time,curves_attempted,setup_time,multiplication_time,gcd_time,check_time,scalar_multiplications,gcd_calculations,point_checks,found_via_zerodiv,found_via_gcd_x,found_via_gcd_y,zerodiv_count,gcd_x_hits,gcd_y_hits
0,698396313498980295728821,True,1043605773157,669214689553,2.709,7,0.001008,2.681,0.014,0.008010,27532,27532,13766,False,True,False,0,1,0
1,557837613227400534046783,True,877789526267,635502699149,0.080,1,0.000000,0.080,0.000,0.000000,816,815,408,False,False,True,0,0,1
2,647645541328318302699191,True,679552694831,953046829561,15.884,39,0.000000,15.753,0.068,0.031488,154728,154727,77364,False,False,True,0,0,1
3,549783678299824126627913,True,731608273813,751472745701,9.379,24,0.000000,9.300,0.047,0.015017,93260,93259,46630,False,False,True,0,0,1
4,591681820821890381318081,True,809232289781,731164374301,1.597,4,0.000000,1.588,0.006,0.000000,15678,15678,7839,False,True,False,0,1,0
5,1052885076700993431472277,True,1060258913479,993045248963,1.932,5,0.000000,1.914,0.010,0.004503,18876,18875,9438,False,False,True,0,0,1
6,541442692609288700895971,True,694133864951,780026332021,3.930,10,0.000000,3.897,0.022,0.007041,39272,39271,19636,False,False,True,0,0,1
7,674450188663902385550903,True,729782008691,924180345133,6.752,17,0.000000,6.693,0.030,0.015596,64862,64861,32431,False,False,True,0,0,1
8,821297585101401907504051,True,1088246806553,754697905067,10.077,25,0.001998,9.979,0.056,0.023582,99008,99008,49504,False,True,False,0,1,0
9,509915046627278746160159,True,755939796257,674544519487,5.399,14,0.000000,5.351,0.025,0.014010,53320,53319,26660,False,False,True,0,0,1
10,464492969555114114155109,True,629256449749,738161634641,3.752,10,0.000000,3.722,0.020,0.004509,37076,37076,18538,False,True,False,0,1,0
11,499222616444061301825861,True,568502635759,878135975179,1.466,4,0.000000,1.456,0.003,0.004503,14838,14837,7419,False,False,True,0,0,1
12,754564258289844341582471,True,930244774213,811145925467,3.635,9,0.000999,3.606,0.017,0.003997,35318,35317,17659,False,False,True,0,0,1
13,1013019105330120224711833,True,949007641489,1067450946697,13.428,34,0.000000,13.325,0.055,0.018458,132982,132981,66491,False,False,True,0,0,1
14,442957521616778686418909,True,609747648871,726460401179,0.451,2,0.000000,0.445,0.004,0.000000,4712,4711,2356,False,False,True,0,0,1
15,606578012613675124309577,True,883012593313,686941519529,0.361,1,0.000000,0.356,0.002,0.001000,3582,3581,1791,False,False,True,0,0,1
16,599470670425343107043161,True,907833910331,660330775931,1.769,5,0.000000,1.755,0.007,0.002002,17388,17388,8694,False,True,False,0,1,0
17,697225847626371470530171,True,725147597903,961495079957,14.601,36,0.000000,14.493,0.055,0.027976,142308,142308,71154,False,True,False,0,1,0
18,865072616506953633281851,True,883295455051,979369486801,5.100,13,0.000000,5.068,0.021,0.003995,50232,50231,25116,False,False,True,0,0,1
19,1131041853933790938262553,True,1037574972823,1090082050511,3.862,10,0.000000,3.835,0.015,0.004502,37618,37618,18809,False,True,False,0,1,0
20,868105846546314054587789,True,977917759187,887708438047,8.867,22,0.000000,8.793,0.037,0.018541,85474,85473,42737,False,False,True,0,0,1
21,519759597045840488006141,True,679029680117,765444592873,1.064,3,0.000000,1.057,0.002,0.001999,10380,10380,5190,False,True,False,0,1,0
22,491655564751247854516697,True,595211040649,826018892753,4.322,11,0.000000,4.288,0.024,0.005000,42936,42935,21468,False,False,True,0,0,1
23,359182445629863883495199,True,563876287487,636988030177,25.675,61,0.001001,25.450,0.126,0.044689,241408,241407,120704,False,False,True,0,0,1
24,697874811824326052285339,True,915045141161,762667086499,3.664,9,0.000000,3.632,0.018,0.005500,34216,34216,17108,False,True,False,0,1,0
25,1061614036217778719137199,True,1067585316781,994406741579,13.329,33,0.001000,13.202,0.074,0.029577,129810,129809,64905,False,False,True,0,0,1
26,656882946074533622384581,True,657073320383,999710269307,9.284,22,0.000000,9.213,0.037,0.018021,85998,85997,42999,False,False,True,0,0,1
27,657664543133463412812299,True,735638937643,894004530593,6.045,14,0.000000,6.008,0.021,0.011018,55692,55691,27846,False,False,True,0,0,1
28,631670545109030970240419,True,793757222597,795798169927,0.226,1,0.000000,0.226,0.000,0.000000,2316,2316,1158,False,True,False,0,1,0
29,708567042809051854752061,True,688131291473,1029697459757,0.062,1,0.000000,0.062,0.000,0.000000,684,684,342,False,True,False,0,1,0
30,501016314583728545438467,True,835470022469,599681976743,4.435,11,0.000000,4.392,0.028,0.007517,42886,42885,21443,False,False,True,0,0,1
31,603502198800991148044693,True,823076821607,733227060899,4.762,12,0.000000,4.712,0.032,0.009081,45948,45948,22974,False,True,False,0,1,0
32,756648254284003418483423,True,764371156643,989896397461,2.550,6,0.000000,2.527,0.012,0.007005,23824,23823,11912,False,False,True,0,0,1
33,436821329027292595447489,True,787679841493,554567104573,1.842,5,0.000000,1.822,0.015,0.003508,17606,17605,8803,False,False,True,0,0,1
34,722846394069355489934587,True,732718138667,986527227761,1.401,4,0.000000,1.389,0.005,0.003000,13044,13044,6522,False,True,False,0,1,0
35,671142843614209373083121,True,914344013423,734015680927,5.741,14,0.001000,5.684,0.030,0.014009,54760,54760,27380,False,True,False,0,1,0
36,655280127786988995284573,True,798227952311,820918543243,7.679,18,0.000000,7.625,0.031,0.013019,71732,71732,35866,False,True,False,0,1,0
37,780214196300685578522593,True,948762338669,822349459397,8.555,21,0.001002,8.474,0.044,0.018991,80882,80882,40441,False,True,False,0,1,0
38,1081011418849861036785523,True,1022609007941,1057111183703,3.499,9,0.000000,3.472,0.016,0.002502,33228,33228,16614,False,True,False,0,1,0
39,328798054415608142136679,True,564933584003,582011874893,7.259,18,0.001000,7.187,0.039,0.017577,68750,68749,34375,False,False,True,0,0,1
40,929312529730322604693763,True,856273822471,1085298306853,3.237,8,0.000000,3.214,0.016,0.003510,30752,30751,15376,False,False,True,0,0,1
41,800836964183310179965837,True,800917481849,999899468213,9.932,24,0.001002,9.840,0.049,0.023458,93560,93559,46780,False,False,True,0,0,1
42,655673428698958847644693,True,876811650163,747792788311,0.880,3,0.000000,0.868,0.004,0.004001,8420,8420,4210,False,True,False,0,1,0
43,519003442589203886640737,True,621561538069,834999289373,1.187,3,0.000000,1.177,0.003,0.005010,10944,10944,5472,False,True,False,0,1,0
44,628245307734510204681511,True,598708106569,1049334894319,14.363,34,0.001000,14.252,0.065,0.021138,135850,135849,67925,False,False,True,0,0,1
45,702183142071027669591727,True,666269540863,1053902510929,0.737,2,0.000000,0.728,0.003,0.004001,6882,6882,3441,False,True,False,0,1,0
46,803788629938122527057287,True,808287262249,994434364463,1.206,3,0.000000,1.191,0.004,0.004507,10716,10715,5358,False,False,True,0,0,1
47,829404178669107212686033,True,1002680549099,827186863667,7.829,19,0.000000,7.755,0.041,0.018574,72478,72477,36239,False,False,True,0,0,1
48,672725748810067747332869,True,671366729149,1002024258281,0.560,2,0.000000,0.555,0.004,0.001000,5520,5519,2760,False,False,True,0,0,1
49,488670859981487947244801,True,708904754171,689332180531,5.906,15,0.000000,5.857,0.026,0.010648,57452,57451,28726,False,False,True,0,0,1
